"term","page","asin","title","link","price"
"Manohar Publishers history",1,"8173045879","Early India: A Concise History","https://www.amazon.in/Early-India-D-N-Jha/dp/8173045879/ref=sr_1_1?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-1","335"
"Manohar Publishers history",1,"8185229120","History and Ideology: The Khalsa Over 300 Years","https://www.amazon.in/History-Ideology-Khalsa-Over-Years/dp/8185229120/ref=sr_1_2?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-2","242"
"Manohar Publishers history",1,"8173044228","Perspectives on Indian Society and History: A Critique","https://www.amazon.in/Perspectives-Indian-Society-History-Critique/dp/8173044228/ref=sr_1_3?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-3","150"
"Manohar Publishers history",1,"9390035864","Ancient India in Historical Outline, 4th Revised Edition","https://www.amazon.in/Ancient-India-Historical-Outline-Revised/dp/9390035864/ref=sr_1_4?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-4","232"
"Manohar Publishers history",1,"8173046506","History of the Tantric Religion: An Historical, Ritualistic and Philosophy Study (2nd rev. edn)","https://www.amazon.in/History-Tantric-Religion-N-N-Bhattacharyya/dp/8173046506/ref=sr_1_5?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-5","616"
"Manohar Publishers history",1,"8173045992","Swami Sahajanand & the Peasants of Jharkhand: A View from 1941 -- An Edited Translation of Jharkhand ke Kisan with the Original Hindi Text & an Introduction, Endnotes & Glossary","https://www.amazon.in/Swami-Sahajanand-Peasants-Jharkhand-Introduction/dp/8173045992/ref=sr_1_6?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-6","250"
"Manohar Publishers history",1,"8173044317","Social and Economic History of Assam (1853-1921)","https://www.amazon.in/Social-Economic-History-Assam-Saikia/dp/8173044317/ref=sr_1_7?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-7","336"
"Manohar Publishers history",1,"9374519755","Socio-Cultural History of Medieval India: Voices from Sufism","https://www.amazon.in/Socio-Cultural-History-Medieval-India-Voices/dp/9374519755/ref=sr_1_8_mod_primary_new?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=8-8","1,356"
"Manohar Publishers history",1,"9360803278","The Idea of History","https://www.amazon.in/Idea-History-R-G-Collingwood/dp/9360803278/ref=sr_1_9?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-9","796"
"Manohar Publishers history",1,"9394262237","History of Aurangzib (Based on Original Sources) (Vols. 1-2) [Hardcover] Sir Jadunath Sarkar","https://www.amazon.in/History-Aurangzib-Based-Original-Sources/dp/9394262237/ref=sr_1_10?dib=eyJ2IjoiMSJ9.WLD-BmFjn7R5NpdyZ2mk1yGXiaqeoQ0BX_f22QmvPdO5HUy8vrmiLaPWpcHkr0qeAXK8FcmykH6qDMrJ3WBmMDqRkFZDTYyTa65rak7lUow5r273M3O_BuQJdJsEaElxJUQXhr-BOGzS-BCtqPpXxsURhJ-TyPrrcxYpRhjM9_podUu7KdcA4ZOLZ7ttFaQ377u54V3gUDMHMGXBZWSM8zBYEfc9AlkJ7_PxXhhg3wI.bBbq-3OtGp7JGX2zz9U3ktVGgN4ZFhuBdUlf2q6PDkI&dib_tag=se&keywords=Manohar+Publishers+history&qid=1785406804&sr=8-10","552"
