PO ZB327 - Remaining to procure from publishers (3265 ISBNs),,,,,,,,,,,,,,,,,,,,,,,
Not available/profitable on Amazon. Publisher names recovered from Amazon scrape & merged across variants. Sorted biggest publisher first.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
#,ISBN,Title,PO Price (USD),REMARKS,,,,,,,,Merged Publisher,,,,,,,,,,,Group #books
1668,9781412979818,BUNDLE: Jimenez: Social Policy and Social Change + CQ Researcher: Issues for Debate in Social Policy,$123.00,,,Excluded Websites List (Patterns):,,,,,,SAGE Publications Inc,,,,,,,,,,,3
2148,9781781637456,Anthropology Of Sociolinguistics,$114.12,,,• abebooks.co.uk               : 36 link(s) (Excluded),,,,,,Koros,,,,,,,,,,,1
386,9783382013493,Ausgewählte Schriften: Dritter Band (German Edition),$114.00,,,• abebooks.com                 : 29 link(s) (Excluded),,,,,,Anatiposi Verlag,,,,,,,,,,,72
392,9783382001544,Deutschland und sein Volk: Erster Theil (German Edition),$114.00,,,• abebooks.de                  : 1 link(s) (Excluded),,,,,,Anatiposi Verlag,,,,,,,,,,,72
400,9783382333454,History and Geography of the Middle Ages,$114.00,,,• amazon.ca                    : 1 link(s) (Excluded),,,,,,Anatiposi Verlag,,,,,,,,,,,72
408,9783382031169,Landbuch der Mark Brandenburg und des Markgrafthums Nieder-Lausitz in der Mitte des 19. Jahrhunderts: Zweiter Band (German Edition),$114.00,,,• amazon.co.uk                 : 27 link(s) (Excluded),,,,,,Anatiposi Verlag,,,,,,,,,,,72
441,9783382153328,The Princess of the Moor: Vol. I,$114.00,,,• amazon.com                   : 73 link(s) (Excluded),,,,,,Anatiposi Verlag,,,,,,,,,,,72
2344,9781412936972,"Second Thoughts by Ruane & Cerulo and Social Problems by Leon-Guerrero, Bundle",$107.00,,,• amazon.in                    : 3 link(s) (Excluded),,,,,,SLE Pound,,,,,,,,,,,1
382,9783382162139,An Arctic Boat Journey,$104.00,,https://www.amazon.com/Arctic-Boat-journey-Autumn-Leather-Bound/dp/B07QXNR31R/ref=tmm_hrd_swatch_0,,,,,,,Anatiposi Verlag,,,,,,,,,,,72
450,9783382010164,Zeitschrift für Deutsches Alterthum: Zehnter Band (German Edition),$104.00,,https://www.abebooks.com/book-search/isbn/9783368015961/n/100121501,⏭️ Skipped Websites by Quantity Filter (27 websites):,,,,,,Anatiposi Verlag,,,,,,,,,,,72
655,9783368823788,Life of Saint Columba,$104.00,,https://www.abebooks.co.uk/servlet/SearchResults?an=adamnan&bi=s&ds=5&sortby=17&tn=life%20saint%20columba,• agapea.com                   : 1 link(s) (Skipped),,,,,,Outlook Verlag,,,,,,,,,,,38
387,9783382314668,Battles of the United States by Sea and Land: Vol. II,$104.00,,,• ahujabooks.com               : 1 link(s) (Skipped),,,,,,Anatiposi Verlag,,,,,,,,,,,72
429,9783382011833,Sämmtliche Werke: 26. Band (German Edition),$104.00,,,• akshardhara.com              : 1 link(s) (Skipped),,,,,,Anatiposi Verlag,,,,,,,,,,,72
431,9783382024147,Sämmtliche Werke: Erste Abtheilung Sechster Band (German Edition),$104.00,,,• bhalani.com                  : 1 link(s) (Skipped),,,,,,Anatiposi Verlag,,,,,,,,,,,72
